ion_formula,charge,mz,class,reagent,phase,instrument,contributor,site,setting,biome,campaign,reference,peaklist_file
C15H22N3O7,-,356.14632,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15NO13,-,357.05489,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H12NO14,-,358.02633,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO13,-,358.06271,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H15N2O13,-,359.05796,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C13H18NO11,-,364.08853,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C12H18NO12,-,368.08345,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16N3O12,-,370.07395,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15N2O13,-,371.05796,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO14,-,372.04198,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14N3O13,-,372.05321,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C15H22N3O8,-,372.14124,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15NO14,-,373.04980,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H17N2O13,-,373.07361,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO14,-,374.05763,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H17NO14,-,375.06545,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H10N3O15,-,376.01174,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C14H22NO11,-,380.11983,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C12H18NO13,-,384.07836,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16N3O13,-,386.06886,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15N2O14,-,387.05288,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO15,-,388.03689,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14N3O14,-,388.04813,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15NO15,-,389.04472,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO15,-,390.05254,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H15N2O15,-,391.04779,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C15H22NO11,-,392.11983,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H17N2O15,-,393.06344,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
